,tweet_text,sentiment
0,"Alisson puede estar ms tranquilo, no cargar con el peso de ser el arquero mas caro de la historia. Si es que eso le pesaba en algo. Gracias",POSITIVE
1,"No se que escribir con respecto al juego de hoy, sigo en el shock en el que me dej el Gol de Kane.Me dedicar a leer las opiniones",NEGATIVE
2,"Precioso el estadio Olmpico de Londres, casa de los Hammers",POSITIVE
3,"Hoy se vera si vamos por buen camino, faltan muchos jugadores, vamos con todo ??",POSITIVE
4,Vamos!!!! Ya es la recta final Falta poco! A ganarla con,NEGATIVE
5,"En estas pocas en que Union me hace doler el corazn, el Liverpool me recuerda que el futbol es hermoso.No son ni comparables los sentimientos, pero as todo, sigo alegrandome por cada gol Red.You Never Walk Alone",POSITIVE
6,Buen futuro con Felipe,POSITIVE
8,"Esta banda quiere y quiere, se gan con de menos, mucho huevo!???",POSITIVE
9,"Oigan, Alisson Becker (el portero de Brasil al que todos le estaban haciendo hijos) ya es Red, qu precioso ?",POSITIVE
10,Mirad putos gilipollas como os desagais del viejo cadver decrpito fracasado francs de Wenger para traer al puto perdedor arruinador de fbricas de gominas de Emery my voy a cagar tan alto en la puta que voy a parar las manijas del puto Big BenINTILES DE LOS COJONES,NEGATIVE
11,Excelente asistencia de para que empate el partido vs -1 min. .,POSITIVE
12,"Tienes razn. Igual si les hacen falta cracks les vendemos a mayoral y Don RDT a buen precio, mira tremenda ganga.",POSITIVE
13,El representante es el problema ac me parece.,NEGATIVE
14,"Hemos sido superiores al Tottenham y por suerte hemos marcado, pero tambin desaprovechamos oportunidades claras, a ver si en el segundo tiempo somos mas contundentes.",POSITIVE
15,Esta bien. Ya veremos como lo utiliza el Pep. Esta Premier que viene pinta prometedora,POSITIVE
16,"a belesh le dan un gol de camps el cual la pelota ni habia entrado.... -1.. empezamos mal, despues, un penal muy dudoso que vino en la expulsion de fabri y se descontrolo todo, penal de chilavert y -1.. despues vino la expulsion del diego y es historia, belesh gano el titulo",NEGATIVE
17,"Buff. Espectacular. Me recuerda a la meyba. Por cierto, compartimos main sponsor con el .",POSITIVE
18,"Mejor dicho, qu le ensee a jugar ftbol... Pobre grone",NEGATIVE
19,Este de agosto cumple aos el jugador del . MUCHAS FELICIDADES!! ???????,POSITIVE
20,"Si, el nos va a vender a y el mismo ao y a buen precio.....",POSITIVE
21,"Umtiti y Lenglet son jovenes, Vermaelen nunca esta y Pique le esta pesando la edad y ya no da tantas garantias como antes. Se tenia que quedar el o Marlon no los dos.",NEGATIVE
23,Que bien conoce de cuando estuvo en el a lo esta explotando muy bien en el,POSITIVE
24,"Grande Erick, de lo mejorcito del",POSITIVE
25,No me gusta dar por sentadas estas cosas pero es inevitable que me ilusione. Empieza a haber portero! ??,NEGATIVE
