,Unnamed: 0,Speech,sentimentAnnotation,EngSpeech
0,0,yo habia visto resenas que decian que picaba cuando la usabas,-1.0,I had seen reviews that said it itchy when you used it
1,1,y la verdad es que si la use una vez y t- y te arde asi// donde lo usas te arde el ojo,-1.0,and the truth is that if I use it once and t- and it burns like this // where you use it your eye burns
2,2,y dije no: puede ser posible tanto la deseaba me arde y no la voy a poder usar,-1.0,"and I said no: it could be possible so much I wanted it, it burns me and I won't be able to use it"
3,3,esta tambien tira un poquito de pelo pero hagan de cuenta como que se quebra:ba el pelito y es lo que se caia el pelito y es lo que se caia,-1.0,It also pulls a little hair but pretend that it breaks: the hair fell and the hair fell and it fell
4,4,pero igual con las lavadas se ha dejado de tirar //,1.0,but the same with the washes it has stopped throwing //
5,5,"em: se lavan super facil, se secan rapido se secan rapido //",1.0,"em: they wash super easy, they dry fast they dry fast //"
6,6,y: bueno con las lavadas ya no: raspa tanto ya no raspa tanto,1.0,y: good with the washes no longer: it scratches so much it doesn't scratch as much
7,7,ya esta soportable,1.0,is already bearable
8,8,// pues si: pica un p-,-1.0,// well if: it bites a p-
9,9,"Y lo que me encanto de esta pelicula es que es:te recurso lo utilizan m:uy, bien porque la c- calidad de la imagen se ve muy bien",1.0,"And what I loved about this movie is that it is: your resource is used by m: oops, well because the c-quality of the image looks very good"
10,10,"luego pues cada tenemos esta historia que esta muy: interesante, la verdad es que desde el principio te atrapa y toda la pelicula yo la neta no queria que se acabara la pelicula porque es dia de que tiene super poderes y ahora:, que voy a hacer con ellos ",1.0,"then we each have this story that is very: interesting, the truth is that from the beginning it catches you and the whole movie I really did not want the movie to end because it is day that it has super powers and now: I'm going to do with them"
11,11,"esta su:per interesante, porque ya: la neta todos siempre queremos tener superpoderes y vivimos pensando que algun dia vamos a tener superpoderes.",1.0,"This is interesting: because now: the net, we all always want to have superpowers and we live thinking that someday we will have superpowers."
12,12,"Y: despues de ver la pelicula piensas mas que vas a tener superpoderes,",1.0,"And: after watching the movie you think more that you are going to have super powers,"
13,13,"entonces, como agarro a estos tres personajes que se ven tan: comunes, tan: normales, que tienen una relacion como de amigos muy realista, y darles estos superpo-",1.0,"So, as I grab these three characters who look so: common, so: normal, who have a very realistic relationship as friends, and give them these overlaps."
14,14,"Este resumen no les- no le hace justicia, esta: padri:simo el libro",1.0,"This summary doesn't do them- it doesn't do it justice, this: padri: simo el libro"
15,15,"es uno de los mejores libros que he leido en muchisimo tiempo la verdad,",1.0,"It is one of the best books that I have read in a long time the truth,"
16,16,"y como les habia dicho en mi video anterior. Si a ustedes les gusta Harry Potter, seguramente les van a gustar Cazadores de Sombras.",1.0,"and as I had said in my previous video. If you like Harry Potter, you will surely like Shadowhunters."
17,17,No porque se parezca la historia sino porque: tratan asi tem- temas: magicos cosas mitologicas y cosas asi,1.0,Not because the story is similar but because: they deal with themes like this: magical mythological things and things like that
18,18,lo que mas me gusto de este libro es que ya cuando llegas al final te lo cambian todo y pasa algo que de veras no te esperaba y eso siempre me gusta el que hagan plot twist me encantan porque me traen cosas que yo no me esperaba y que le agregan mucho mas a la historia y te dan ganas de seguir leyendo los libro-,1.0,What I liked most about this book is that when you get to the end they change everything and something happens that I really did not expect and that I always like to do plot twist I love them because they bring me things that I did not expect and that add much more to the story and make you want to continue reading the books-
19,19,pero de verdad lo recomiendo,1.0,but I really recommend it
20,20,porque es que: eh: tiene de todo o sea no es el:,1.0,"because it is that: eh: it has everything, that is, it is not the:"
21,21,no he leido nunca ningun libro de esos zombies,-1.0,I have never read any book of those zombies
22,22,pero de peliculas y tal a mi que tampoco me suelen hacer mucha gracia salvo que Walking Dead,1.0,but from movies and such to me that I am not usually very happy except that Walking Dead
23,23,"que la verdad no me gusta, pero no estamos hablando de eso //",-1.0,"I really don't like it, but we are not talking about that //"
24,24,me ha: gustado mucho porque es: Diario de un zombie es: lo que cuenta el es una perso:na,1.0,I liked it a lot because it is: Diary of a zombie is: what he tells is a person: na
25,25,una persona que: se ha convertido en zombie pero realmente piensa como una persona,1.0,a person who: has become a zombie but really thinks like a person
26,26,y bueno y: tiene muchos momentos de risa de cachondeo,1.0,and well and: it has many moments of joking laughter
27,27,momentos tristes de tension con unas- describe las cosas muy: bien // des-,1.0,sad moments of tension with some- describes things very: well // after-
28,28,mm: y- hara su efecto aunque: no lo notes,1.0,mm: y- will do its effect although: don't notice it
29,29,"pero lo que no me gusta de este: de este producto, es que cuando les das, a ver si lo puedo hacer, // sale muchi:simo, disparado en linea recta.",-1.0,"But what I don't like about this: about this product, is that when you give them, let's see if I can do it, // a lot of it comes out, shot in a straight line."
30,30,"En vez de ser un spray que se difumine y te caiga mas producto en el pelo, te cae solamente en un sitio del pelo muchisima cantidad de producto.",-1.0,"Instead of being a spray that diffuses and more product falls on your hair, only a lot of product falls on your hair."
31,31,Asi que: sera buen producto pero yo no: // eh: no me gusta ,-1.0,So: it will be a good product but I don't: // eh: I don't like it
32,32,Es que es mm: no me lo puedo echar bien por el pelo sin echarme muchisimo producto.,-1.0,It is that it is mm: I can not get it right by the hair without putting a lot of product.
33,33,"asi que, // no lo recomiendo si s-",-1.0,"So, // I don't recommend it if s-"
34,34,// No recomiendo la crema americana.  ,-1.0,// I don't recommend American cream.
35,35,"Todo el mundo dice que huele genial, // que: deja el pelo muy bien.",1.0,"Everyone says it smells great, // that: it leaves the hair very well."
36,36,"Pero este producto eh: deja el pelo seco, es que, eh: por mucho que te eches, // mm: aunque sea un suavizante. ",-1.0,"But this product huh: leaves hair dry, is that, huh: as much as you throw yourself, // mm: even if it is a softener."
37,37,"Pone suavizante con el doble de potencia, pero es que deja el pelo sequi:simo. Es q-",-1.0,"It puts softener with twice the power, but it leaves the hair dry: simo. It's q-"
38,38,"// es un producto que no merece la pena, deja ni siquiera huele bien.",-1.0,"// it is a product that is not worth it, it doesn't even smell good."
39,39,"// La gente dice que huele bien, a mi me huele como a ran:cio // y //",-1.0,"// People say it smells good, it smells like ran: cio // y //"
40,40,"no: // no deja el pelo bien, deja el pelo seco, //",-1.0,"no: // it doesn't leave the hair well, it leaves the hair dry, //"
41,41,y tienes que usar muchisimo producto. ,-1.0,and you have to use a lot of product.
42,42,"Sobre todo y- como gente como yo que tengo el pelo largo, es que es imposible este producto, pero y mira-",1.0,"Especially and- as people like me who have long hair, this product is impossible, but and look-"
43,43,// Pero siento que no me hace nada.,-1.0,// But I feel like it doesn't do anything to me.
44,44,osea me cubre // las rojeces// bien en-,1.0,bone covers me // redness // well in-
45,45,pero me durara diez minutos puesto,-1.0,but it will last me ten minutes
46,46,de verdad que: no me dura nada nada nada en el rostro.,-1.0,really that: nothing lasts nothing nothing nothing on my face.
47,47,Me corrige las rojeces aplicando como cuarenta veces,-1.0,Corrects redness by applying about forty times
48,48,"// eh: la ojera: // mas o meno, //",-1.0,"// eh: the dark circles: // more or less, //"
49,49,como ya dije dura muy poco. //,-1.0,"As I said, it lasts very little. //"
50,50,Como iluminador no siento que sirva tampoco,-1.0,As an illuminator I don't feel it works either
51,51,"asi que, cuando se me acabe no lo volvere a comprar, y de verdad quiero un cua-",-1.0,"So when I run out, I won't buy it again, and I really want a"
52,52,"// Y: porque no me gusta, por los mismos reflejos dorados creo que son en exceso.",-1.0,"// Y: because I don't like it, because of the same golden reflections I think they are in excess."
53,53,"// eh: yo por ejemplo al momento de aplicarlo, tienes que utilizar las manos obviamente, y las manos te quedan: con con una sensacion seca,",-1.0,"// eh: me for example when applying it, you have to use your hands obviously, and your hands are left: with a dry sensation,"
54,54,em: toda brillante en donde es- aunque te laves cuarenta veces aun asi te quedan brillos en las mano.,-1.0,em: all shiny where it is- even if you wash forty times you still have shine on your hands.
55,55,"Entonces super super incomodo, // eh: utilizar esta crema",-1.0,"So super super awkward, // uh: use this cream"
56,56,"-pun dice que es humectante y no siento que me humecta, incluso siento que me seca mas la piel.",-1.0,"-pun says that it is moisturizing and I do not feel that it moisturizes me, I even feel that my skin dries more."
57,57,Otro producto que no l-,-1.0,Another product that does not
58,58,"Otra vez, el segundo genero y segun: y sin lugar a dudas mi favorito, es la novela historica.",1.0,"Again, the second genre and according to: and without a doubt my favorite, is the historical novel."
59,59,"Me gusto mucho la Estirpe de la mariposa, de Magdalena Lasala.",1.0,"I really liked the Estirpe de la mariposa, by Magdalena Lasala."
60,60,"Esta escritora es fascinante y a todos los que: esteis interesados por la novela historica, os la recomiendo.",1.0,"This writer is fascinating and to all who: are interested in the historical novel, I recommend her."
61,61,"// Es que es: sensacional, eh huele a flores de tiare:, mmm lleva espuma blanca:, eh flores de azahar:.",1.0,"// It is: sensational, huh it smells like tiare flowers :, mmm it has white foam :, uh orange blossom :."
62,62,"Es exquisito, a mi este perfume me parece exquisito. Y es el que llevo usando todo el verano.",1.0,"It is exquisite, this perfume seems exquisite to me. And it's the one I've been using all summer."
63,63,"O sea, sin duda es es fresquisimo y: es que es muy rico, es- puf",1.0,"I mean, it is certainly very fresh and: it is very rich, puff"
64,64,es que huele como si estuvieras en el Caribe de verdad que es sensacional.,1.0,is that it smells like you are in the Caribbean it really is sensational.
65,65,Espero que: no lo retiren porque: cuando se me acabe este pienso comprar otro de este tambien voy a repetir,1.0,I hope: do not withdraw it because: when this one runs out I plan to buy another one of this I will also repeat
66,66,de verdad que es genial //,1.0,it really is great //
67,67,"decia, las- las chiquillas pus: cuando se pintan los labios siempre se pintan por fuera.",-1.0,"he said, las- las pus little girls: when they paint their lips they always paint on the outside."
68,68,"// Y con, y con este tono, es que me he pintado hasta yo por fuera.",-1.0,"// And with, and with this tone, I have painted myself on the outside."
69,69,Es que es tan cremoso que: es que te pintas por fuera.,-1.0,It is so creamy that: it is that you paint yourself on the outside.
70,70,"Yo: no se porque hacen estos pintalabios para las chiquillas, porque luego ten- tienen que ir las madres detras de ellas para: para limpiarles la cara.",-1.0,"Me: I don't know why they make these lipsticks for the little girls, because then the mothers have to go behind them to: to clean their faces."
71,71,Y: y nada pues lo mas seguro o que lo tire a la basura o que se lo de a mi sobrina y que,-1.0,And: and nothing because it is safer or that I throw it away or that I give it to my niece and that
72,72,antes se veia a leguas que no: que no era mi tono,-1.0,before it was leagues that no: it was not my tone
